Raman_shift_cm-1	Intensity
600	0.0050396891
601	0.0047608413
602	0.0045629466
603	0.0044460048
604	0.0044635591
605	0.0045084526
606	0.0044660681
607	0.0043876028
608	0.0042995906
609	0.0042248395
610	0.0042042655
611	0.0041709211
612	0.0040555102
613	0.0039253959
614	0.0038440122
615	0.0037997363
616	0.0037860678
617	0.0037589058
618	0.0036738488
619	0.0035808195
620	0.0035307809
621	0.0034712972
622	0.0033451656
623	0.0032164077
624	0.0031553603
625	0.0031330302
626	0.0031168314
627	0.0030718354
628	0.0029640567
629	0.0028594599
630	0.0028135498
631	0.0027741837
632	0.0026985784
633	0.0026236168
634	0.002574217
635	0.0025431436
636	0.0025313698
637	0.0025053254
638	0.0024329371
639	0.0023350536
640	0.0022295257
641	0.0021303848
642	0.0020426378
643	0.0019902388
644	0.0020290533
645	0.0020524857
646	0.0019337668
647	0.0017445233
648	0.0015644605
649	0.0014372677
650	0.0014055654
651	0.0013730625
652	0.0012530369
653	0.0011418845
654	0.0011046301
655	0.0010897347
656	0.0010572028
657	0.0010169468
658	0.00097552823
659	0.00092036549
660	0.00083195856
661	0.00073569316
662	0.00067471116
663	0.00062024818
664	0.00054629252
665	0.00043601921
666	0.00027910062
667	0.00012416824
668	1.3231207e-05
669	-8.2545968e-05
670	-0.00018583983
671	-0.00027603623
672	-0.00034229385
673	-0.00040335325
674	-0.00048197051
675	-0.0005690894
676	-0.00066171091
677	-0.00074563134
678	-0.0008133864
679	-0.00086647603
680	-0.00091151952
681	-0.0009403746
682	-0.00095628031
683	-0.00096204535
684	-0.00096659481
685	-0.00096771223
686	-0.00099604448
687	-0.00098407816
688	-0.0008854387
689	-0.00070331069
690	-0.00048676337
691	-0.00021694824
692	9.177819e-05
693	0.00046168277
694	0.00082781039
695	0.0012722882
696	0.0018100279
697	0.0025293433
698	0.0034062335
699	0.0044465763
700	0.0055267101
701	0.0068151238
702	0.0083258765
703	0.010064414
704	0.011891778
705	0.013896733
706	0.015968796
707	0.018308252
708	0.020950749
709	0.023882989
710	0.026944563
711	0.030150543
712	0.033364666
713	0.036700898
714	0.040167609
715	0.043732983
716	0.047329142
717	0.050935769
718	0.054533132
719	0.058054349
720	0.06151165
721	0.064763992
722	0.067824869
723	0.070565798
724	0.073073314
725	0.075207779
726	0.077136164
727	0.078613473
728	0.079751596
729	0.080327389
730	0.080472163
731	0.080102648
732	0.079535655
733	0.078513602
734	0.077176186
735	0.075313965
736	0.073042238
737	0.070369547
738	0.067587168
739	0.064563332
740	0.061413894
741	0.058058283
742	0.054553997
743	0.050944354
744	0.047341511
745	0.043753148
746	0.040207079
747	0.036738954
748	0.033324965
749	0.030062342
750	0.026951262
751	0.024041067
752	0.02124421
753	0.01865167
754	0.016186895
755	0.013977256
756	0.011985544
757	0.010233167
758	0.0085830153
759	0.0071095312
760	0.0057077571
761	0.004511276
762	0.0035142375
763	0.0027242823
764	0.0020347908
765	0.0014528171
766	0.00086269811
767	0.00037522397
768	2.4341766e-05
769	-0.00022817328
770	-0.00048959116
771	-0.00070661709
772	-0.00088902928
773	-0.00097072502
774	-0.00092620339
775	-0.0008417083
776	-0.00081319193
777	-0.00081712474
778	-0.00088503451
779	-0.00092942471
780	-0.00085152589
781	-0.00071723873
782	-0.0005942407
783	-0.00051579992
784	-0.00053749585
785	-0.00054279747
786	-0.00042712941
787	-0.00026841891
788	-0.00012298869
789	-1.0110108e-05
790	3.329806e-05
791	5.8788576e-05
792	0.00010482094
793	0.00018637833
794	0.00033337371
795	0.00049758711
796	0.00061873383
797	0.00071845147
798	0.0008253178
799	0.0009235264
800	0.00099934364
801	0.0010384728
802	0.0010331478
803	0.0010451424
804	0.0011374056
805	0.00124657
806	0.0013259656
807	0.0013726556
808	0.001356173
809	0.0013510268
810	0.0014293948
811	0.0015647333
812	0.0017322523
813	0.0018890499
814	0.0020017323
815	0.0020675287
816	0.0020614841
817	0.0020369423
818	0.0020781593
819	0.0021502931
820	0.0022073466
821	0.0022461011
822	0.0022757476
823	0.0023268413
824	0.002405032
825	0.0024728552
826	0.0025120687
827	0.0025617667
828	0.0026394067
829	0.0027106898
830	0.0027570088
831	0.0028057581
832	0.0028825092
833	0.0029375213
834	0.0029209595
835	0.0028966437
836	0.0029186215
837	0.0029857141
838	0.0031162312
839	0.0032276654
840	0.0032191093
841	0.0031817998
842	0.0032032892
843	0.0032695584
844	0.0033936326
845	0.003469056
846	0.0033882557
847	0.0032650502
848	0.0031939969
849	0.0031834031
850	0.003259616
851	0.0033567184
852	0.0034058095
853	0.0034277202
854	0.0034169176
855	0.0034100008
856	0.0034619418
857	0.003517567
858	0.003525417
859	0.0034940264
860	0.0034253603
861	0.003377024
862	0.0034117111
863	0.0034595222
864	0.0034613539
865	0.003432935
866	0.0033734292
867	0.0033209785
868	0.0033016797
869	0.0033233494
870	0.0034115159
871	0.0035003799
872	0.0035059261
873	0.0034673328
874	0.0034302188
875	0.003406748
876	0.0034273571
877	0.0034046277
878	0.0032528544
879	0.003088245
880	0.0030168989
881	0.0030039387
882	0.0030317292
883	0.0030403087
884	0.002941447
885	0.0028462342
886	0.0028612544
887	0.0029152815
888	0.0029534223
889	0.0029322872
890	0.0028048819
891	0.0026569047
892	0.002566988
893	0.0025012848
894	0.0024470962
895	0.0023959603
896	0.002328643
897	0.0022543548
898	0.0021787008
899	0.0021021141
900	0.0020368252
901	0.0019503448
902	0.00179969
903	0.0016417089
904	0.0015366046
905	0.0014683739
906	0.0014149571
907	0.0013533279
908	0.0012574913
909	0.0011679291
910	0.0011225256
911	0.0010583515
912	0.00092012646
913	0.00075293958
914	0.00060809868
915	0.00046552149
916	0.00030247616
917	0.00013381898
918	-2.9438453e-05
919	-0.00015178503
920	-0.00022205174
921	-0.00026319489
922	-0.00028626635
923	-0.00031945866
924	-0.00040571901
925	-0.00054614198
926	-0.00073178437
927	-0.00092154954
928	-0.0010946934
929	-0.001228313
930	-0.0012810192
931	-0.001293753
932	-0.0013459203
933	-0.0014130503
934	-0.0014895555
935	-0.0015082593
936	-0.0014108889
937	-0.001315225
938	-0.0013523995
939	-0.0014069243
940	-0.0013986434
