sample_id,class_code,PC1,PC2
年轻/编号01,0,0.13658441476600258,0.00028147102487565936
年轻/编号02,0,0.13644623150562765,0.0017443271625211323
年轻/编号03,0,0.13641282516466235,-0.0013376775194178126
年轻/编号04,0,0.1363823296380689,-0.0008624626442969112
年轻/编号05,0,0.1364869275871781,0.00017396499175992064
衰老/编号01,1,-0.13640452550156537,-0.0012712186732032585
衰老/编号02,1,-0.13641943148382518,0.0009308673828848899
衰老/编号03,1,-0.13647741801375596,0.00036504429343772613
衰老/编号04,1,-0.13664339013630336,5.591726894581605e-06
衰老/编号05,1,-0.1363679635260897,-2.990774545593576e-05
