Raman_shift_cm-1	Intensity
600	0.0045319371
601	0.0044431021
602	0.0043642376
603	0.0042953435
604	0.0042244808
605	0.0041786502
606	0.004180429
607	0.0041863311
608	0.0041609428
609	0.004090445
610	0.0039410253
611	0.0038000653
612	0.0037764087
613	0.0037858327
614	0.0037405805
615	0.0036548178
616	0.0035301294
617	0.0034483895
618	0.0034954508
619	0.0035416662
620	0.0034667386
621	0.0033477639
622	0.0032584791
623	0.0031776289
624	0.0030891251
625	0.002983667
626	0.0028637554
627	0.0027659792
628	0.0027153806
629	0.0026628591
630	0.0025516116
631	0.0024622198
632	0.0024573362
633	0.0024976927
634	0.0025591646
635	0.0025839939
636	0.0025130175
637	0.0023884712
638	0.0022487015
639	0.0021189262
640	0.0020344524
641	0.0019842611
642	0.0019780284
643	0.0019558003
644	0.0018449822
645	0.0016893027
646	0.0015268128
647	0.001400939
648	0.001352335
649	0.001334863
650	0.0012947767
651	0.0012754716
652	0.0013182964
653	0.0013492025
654	0.0012996033
655	0.0011815153
656	0.0010102131
657	0.00084405585
658	0.00074073054
659	0.00067072681
660	0.00062397707
661	0.00058473995
662	0.00052451179
663	0.0004360071
664	0.00030185459
665	0.0001775831
666	0.00011916304
667	8.8873925e-05
668	4.982225e-05
669	2.4897904e-06
670	-5.0283603e-05
671	-0.00011514517
672	-0.00020641864
673	-0.00031701488
674	-0.00043157857
675	-0.0005274982
676	-0.00057349397
677	-0.0006328237
678	-0.00077525686
679	-0.00092858288
680	-0.001042863
681	-0.0010930448
682	-0.0010557882
683	-0.00099062259
684	-0.00097087103
685	-0.00096237843
686	-0.00096514613
687	-0.00093879945
688	-0.00085702781
689	-0.00072625401
690	-0.00058826322
691	-0.00039317237
692	-0.00014294101
693	0.00020532722
694	0.0006244238
695	0.0011504157
696	0.0017194232
697	0.0024521764
698	0.0033563055
699	0.0044623069
700	0.0056919013
701	0.0070642462
702	0.0084409955
703	0.0099948123
704	0.011728888
705	0.013753209
706	0.016030054
707	0.0185543
708	0.021140182
709	0.023920415
710	0.026847867
711	0.030000782
